,playerid,injury_start_date,injury_end_date,days_injured
314,425528,2009-07-25T00:00:00,2009-09-19T00:00:00,56
315,122111,2009-07-25T00:00:00,2009-08-02T00:00:00,8
316,458731,2009-07-26T00:00:00,2009-09-07T00:00:00,43
317,454537,2009-07-26T00:00:00,2009-08-10T00:00:00,15
318,435625,2009-07-27T00:00:00,2009-08-12T00:00:00,16
319,435558,2009-07-27T00:00:00,2009-08-21T00:00:00,25
320,452249,2009-07-27T00:00:00,2009-08-20T00:00:00,24
321,447736,2009-07-27T00:00:00,2009-08-11T00:00:00,15
322,115629,2009-07-28T00:00:00,2009-08-12T00:00:00,15
323,448179,2009-07-29T00:00:00,2009-10-30T00:00:00,93
324,112526,2009-07-29T00:00:00,2009-09-16T00:00:00,49
325,435459,2009-07-30T00:00:00,2009-09-01T00:00:00,33
326,407862,2009-07-30T00:00:00,2009-09-21T00:00:00,53
327,122987,2009-07-30T00:00:00,2009-08-25T00:00:00,26
328,448269,2009-07-31T00:00:00,2009-11-06T00:00:00,98
329,400083,2009-07-31T00:00:00,2009-09-01T00:00:00,32
330,346799,2009-08-01T00:00:00,2009-08-26T00:00:00,25
331,275933,2009-08-02T00:00:00,2009-08-24T00:00:00,22
332,276351,2009-08-02T00:00:00,2009-10-21T00:00:00,80
333,488674,2009-08-02T00:00:00,2009-09-01T00:00:00,30
334,430611,2009-08-03T00:00:00,2009-09-08T00:00:00,36
335,433217,2009-08-04T00:00:00,2009-09-01T00:00:00,28
336,400290,2009-08-05T00:00:00,2009-10-13T00:00:00,69
337,464400,2009-08-05T00:00:00,2009-11-10T00:00:00,97
338,408306,2009-08-06T00:00:00,2009-08-21T00:00:00,15
339,477003,2009-08-06T00:00:00,2009-11-12T00:00:00,98
340,407297,2009-08-06T00:00:00,2009-09-23T00:00:00,48
341,457708,2009-08-06T00:00:00,2009-08-26T00:00:00,20
342,121834,2009-08-07T00:00:00,2009-11-09T00:00:00,94
343,453264,2009-08-07T00:00:00,2009-09-08T00:00:00,32
344,111492,2009-08-07T00:00:00,2009-09-01T00:00:00,25
345,121409,2009-08-08T00:00:00,2009-08-23T00:00:00,15
346,460284,2009-08-08T00:00:00,2009-11-05T00:00:00,89
347,407296,2009-08-08T00:00:00,2009-08-25T00:00:00,17
348,434578,2009-08-08T00:00:00,2009-08-26T00:00:00,18
