,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,playerid,injury_start_date,injury_end_date
240,240,240,240,643466,2019-05-04T00:00:00,2019-07-17T00:00:00
241,241,241,241,665742,2019-05-04T00:00:00,2019-05-11T00:00:00
242,242,242,242,501593,2019-05-04T00:00:00,2019-07-02T00:00:00
243,243,243,243,592791,2019-05-04T00:00:00,2019-11-04T00:00:00
244,244,244,244,643265,2019-05-04T00:00:00,2019-05-11T00:00:00
245,245,245,245,622259,2019-05-05T00:00:00,2019-07-21T00:00:00
246,246,246,246,571431,2019-05-05T00:00:00,2019-05-22T00:00:00
247,247,247,247,456034,2019-05-06T00:00:00,2019-05-20T00:00:00
248,248,248,248,450306,2019-05-06T00:00:00,2019-05-25T00:00:00
249,249,249,249,448609,2019-05-07T00:00:00,2019-05-20T00:00:00
250,250,250,250,467008,2019-05-08T00:00:00,2019-06-04T00:00:00
251,251,251,251,605309,2019-05-08T00:00:00,2019-07-23T00:00:00
252,252,252,252,608716,2019-05-08T00:00:00,2019-11-01T00:00:00
253,253,253,253,457763,2019-05-09T00:00:00,2019-05-17T00:00:00
254,254,254,254,518875,2019-05-09T00:00:00,2019-05-21T00:00:00
255,255,255,255,519141,2019-05-09T00:00:00,2019-05-19T00:00:00
256,256,256,256,664057,2019-05-09T00:00:00,2019-05-25T00:00:00
257,257,257,257,571927,2019-05-09T00:00:00,2019-05-18T00:00:00
258,258,258,258,474568,2019-05-09T00:00:00,2019-07-01T00:00:00
259,259,259,259,453329,2019-05-10T00:00:00,2019-08-25T00:00:00
260,260,260,260,572287,2019-05-10T00:00:00,2019-05-31T00:00:00
261,261,261,261,664238,2019-05-10T00:00:00,2019-05-25T00:00:00
262,262,262,262,607192,2019-05-11T00:00:00,2019-09-08T00:00:00
263,263,263,263,458677,2019-05-11T00:00:00,2019-07-02T00:00:00
264,264,264,264,543903,2019-05-11T00:00:00,2019-11-04T00:00:00
265,265,265,265,592826,2019-05-11T00:00:00,2019-05-24T00:00:00
266,266,266,266,598284,2019-05-11T00:00:00,2019-06-22T00:00:00
267,267,267,267,433587,2019-05-12T00:00:00,2019-08-24T00:00:00
268,268,268,268,514888,2019-05-12T00:00:00,2019-06-19T00:00:00
269,269,269,269,472610,2019-05-13T00:00:00,2019-05-25T00:00:00
270,270,270,270,642528,2019-05-13T00:00:00,2019-08-24T00:00:00
271,271,271,271,475115,2019-05-13T00:00:00,2019-10-31T00:00:00
272,272,272,272,628356,2019-05-13T00:00:00,2019-06-08T00:00:00
273,273,273,273,591693,2019-05-13T00:00:00,2019-06-23T00:00:00
274,274,274,274,609280,2019-05-13T00:00:00,2019-11-04T00:00:00
275,275,275,275,543768,2019-05-14T00:00:00,2019-06-28T00:00:00
276,276,276,276,571980,2019-05-14T00:00:00,2019-06-04T00:00:00
277,277,277,277,462101,2019-05-15T00:00:00,2019-05-25T00:00:00
278,278,278,278,542255,2019-05-15T00:00:00,2019-07-18T00:00:00
279,279,279,279,641598,2019-05-15T00:00:00,2019-06-02T00:00:00
280,280,280,280,621532,2019-05-16T00:00:00,2019-07-15T00:00:00
281,281,281,281,444489,2019-05-16T00:00:00,2019-06-01T00:00:00
282,282,282,282,434671,2019-05-17T00:00:00,2019-05-29T00:00:00
283,283,283,283,628317,2019-05-17T00:00:00,2019-05-26T00:00:00
284,284,284,284,592866,2019-05-17T00:00:00,2019-06-19T00:00:00
285,285,285,285,544365,2019-05-17T00:00:00,2019-05-25T00:00:00
286,286,286,286,443558,2019-05-17T00:00:00,2019-06-03T00:00:00
287,287,287,287,624424,2019-05-17T00:00:00,2019-05-26T00:00:00
288,288,288,288,502522,2019-05-18T00:00:00,2019-07-30T00:00:00
289,289,289,289,607625,2019-05-20T00:00:00,2019-05-31T00:00:00
290,290,290,290,527038,2019-05-21T00:00:00,2019-07-18T00:00:00
291,291,291,291,592743,2019-05-21T00:00:00,2019-06-27T00:00:00
292,292,292,292,592387,2019-05-21T00:00:00,2019-10-28T00:00:00
293,293,293,293,542932,2019-05-21T00:00:00,2019-07-31T00:00:00
294,294,294,294,664157,2019-05-21T00:00:00,2019-08-08T00:00:00
295,295,295,295,543829,2019-05-21T00:00:00,2019-06-11T00:00:00
296,296,296,296,435043,2019-05-21T00:00:00,2019-05-31T00:00:00
297,297,297,297,476451,2019-05-21T00:00:00,2019-09-01T00:00:00
298,298,298,298,572193,2019-05-21T00:00:00,2019-09-01T00:00:00
299,299,299,299,543521,2019-05-21T00:00:00,2019-06-24T00:00:00
300,300,300,300,458584,2019-05-22T00:00:00,2019-10-31T00:00:00
301,301,301,301,641432,2019-05-22T00:00:00,2019-07-16T00:00:00
302,302,302,302,607345,2019-05-22T00:00:00,2019-06-07T00:00:00
303,303,303,303,607043,2019-05-22T00:00:00,2019-09-01T00:00:00
304,304,304,304,542881,2019-05-22T00:00:00,2019-10-30T00:00:00
305,305,305,305,451584,2019-05-22T00:00:00,2019-06-07T00:00:00
306,306,306,306,643446,2019-05-23T00:00:00,2019-06-04T00:00:00
307,307,307,307,282332,2019-05-23T00:00:00,2019-06-02T00:00:00
308,308,308,308,592804,2019-05-23T00:00:00,2019-07-10T00:00:00
309,309,309,309,429664,2019-05-23T00:00:00,2019-06-05T00:00:00
310,310,310,310,650490,2019-05-23T00:00:00,2019-06-02T00:00:00
311,311,311,311,543105,2019-05-23T00:00:00,2019-06-02T00:00:00
312,312,312,312,501981,2019-05-24T00:00:00,2019-06-01T00:00:00
313,313,313,313,444482,2019-05-24T00:00:00,2019-06-03T00:00:00
314,314,314,314,595453,2019-05-24T00:00:00,2019-11-01T00:00:00
315,315,315,315,543807,2019-05-25T00:00:00,2019-06-24T00:00:00
316,316,316,316,456078,2019-05-25T00:00:00,2019-06-01T00:00:00
317,317,317,317,641627,2019-05-25T00:00:00,2019-06-05T00:00:00
318,318,318,318,518774,2019-05-25T00:00:00,2019-07-13T00:00:00
319,319,319,319,450212,2019-05-25T00:00:00,2019-06-16T00:00:00
320,320,320,320,608717,2019-05-25T00:00:00,2019-06-18T00:00:00
321,321,321,321,465041,2019-05-26T00:00:00,2019-08-22T00:00:00
322,322,322,322,641835,2019-05-26T00:00:00,2019-11-04T00:00:00
323,323,323,323,545332,2019-05-26T00:00:00,2019-11-04T00:00:00
324,324,324,324,545358,2019-05-26T00:00:00,2019-06-21T00:00:00
325,325,325,325,448801,2019-05-26T00:00:00,2019-06-04T00:00:00
326,326,326,326,649557,2019-05-27T00:00:00,2019-07-22T00:00:00
327,327,327,327,453568,2019-05-27T00:00:00,2019-06-07T00:00:00
328,328,328,328,605131,2019-05-27T00:00:00,2019-07-25T00:00:00
329,329,329,329,596133,2019-05-27T00:00:00,2019-09-21T00:00:00
330,330,330,330,543281,2019-05-28T00:00:00,2019-08-09T00:00:00
331,331,331,331,621114,2019-05-28T00:00:00,2019-10-31T00:00:00
332,332,332,332,446359,2019-05-28T00:00:00,2019-11-04T00:00:00
333,333,333,333,501381,2019-05-28T00:00:00,2019-06-07T00:00:00
334,334,334,334,641487,2019-05-29T00:00:00,2019-06-14T00:00:00
335,335,335,335,621097,2019-05-29T00:00:00,2019-07-04T00:00:00
336,336,336,336,621043,2019-05-29T00:00:00,2019-07-26T00:00:00
337,337,337,337,519048,2019-05-29T00:00:00,2019-06-07T00:00:00
338,338,338,338,605388,2019-05-29T00:00:00,2019-06-21T00:00:00
339,339,339,339,543883,2019-05-29T00:00:00,2019-07-29T00:00:00
340,340,340,340,584171,2019-05-30T00:00:00,2019-06-17T00:00:00
341,341,341,341,596112,2019-05-31T00:00:00,2019-06-16T00:00:00
342,342,342,342,621107,2019-05-31T00:00:00,2019-06-07T00:00:00
343,343,343,343,435522,2019-05-31T00:00:00,2019-06-25T00:00:00
344,344,344,344,425877,2019-05-31T00:00:00,2019-06-11T00:00:00
345,345,345,345,607345,2019-05-31T00:00:00,2019-06-07T00:00:00
346,346,346,346,461829,2019-06-01T00:00:00,2019-07-20T00:00:00
347,347,347,347,596119,2019-06-01T00:00:00,2019-08-07T00:00:00
348,348,348,348,456665,2019-06-01T00:00:00,2019-10-31T00:00:00
349,349,349,349,468504,2019-06-02T00:00:00,2019-06-17T00:00:00
350,350,350,350,608336,2019-06-02T00:00:00,2019-06-25T00:00:00
351,351,351,351,519096,2019-06-02T00:00:00,2019-09-01T00:00:00
352,352,352,352,641531,2019-06-03T00:00:00,2019-11-01T00:00:00
353,353,353,353,607473,2019-06-03T00:00:00,2019-10-28T00:00:00
354,354,354,354,664871,2019-06-04T00:00:00,2019-07-28T00:00:00
355,355,355,355,622446,2019-06-04T00:00:00,2019-09-06T00:00:00
356,356,356,356,592712,2019-06-04T00:00:00,2019-10-28T00:00:00
357,357,357,357,600869,2019-06-04T00:00:00,2019-06-15T00:00:00
358,358,358,358,465041,2019-06-04T00:00:00,2019-08-22T00:00:00
359,359,359,359,644364,2019-06-04T00:00:00,2019-11-04T00:00:00
360,360,360,360,457705,2019-06-04T00:00:00,2019-11-04T00:00:00
361,361,361,361,623323,2019-06-05T00:00:00,2019-09-01T00:00:00
362,362,362,362,457763,2019-06-05T00:00:00,2019-06-12T00:00:00
363,363,363,363,621381,2019-06-05T00:00:00,2019-06-13T00:00:00
364,364,364,364,471911,2019-06-05T00:00:00,2019-09-01T00:00:00
365,365,365,365,607461,2019-06-05T00:00:00,2019-06-20T00:00:00
366,366,366,366,445197,2019-06-06T00:00:00,2019-06-13T00:00:00
367,367,367,367,571745,2019-06-07T00:00:00,2019-09-30T00:00:00
368,368,368,368,592761,2019-06-07T00:00:00,2019-07-06T00:00:00
369,369,369,369,596105,2019-06-07T00:00:00,2019-06-20T00:00:00
370,370,370,370,622554,2019-06-07T00:00:00,2019-11-04T00:00:00
371,371,371,371,656514,2019-06-08T00:00:00,2019-06-28T00:00:00
